date,QBO_PC1,QBO_PC2
2016-03-01,-0.246486,-0.827586
2016-04-01,0.494305,-0.422128
2016-05-01,1.63188,-0.338567
2016-06-01,2.35562,-0.341077
2016-07-01,2.53602,-0.624211
2016-08-01,2.28529,-1.06589
2016-09-01,1.99432,-1.36412
2016-10-01,1.53938,-1.69753
2016-11-01,0.969258,-1.87394
2016-12-01,0.479728,-2.00487
2017-01-01,0.315483,-1.98565
2017-02-01,0.079942,-1.92851
2017-03-01,-0.404308,-1.96053
2017-04-01,-1.27899,-1.77843
2017-05-01,-2.11874,-0.959063
2017-06-01,-2.49686,0.0238801
2017-07-01,-2.47524,0.550144
2017-08-01,-2.17242,0.775598
2017-09-01,-2.13173,0.893895
2017-10-01,-2.08401,1.05607
2017-11-01,-1.6266,1.26005
2017-12-01,-0.989657,1.44307
2018-01-01,-1.04841,1.49313
2018-02-01,-1.11574,1.36576
2018-03-01,-1.47091,1.44842
2018-04-01,-1.0359,1.78728
2018-05-01,-0.123789,2.23616
2018-06-01,0.718977,2.34504
2018-07-01,1.72073,2.12658
2018-08-01,2.35196,1.50736
2018-09-01,2.84354,0.733513
2018-10-01,3.08249,0.0685913
2018-11-01,3.17926,-0.505832
2018-12-01,2.60584,-0.977771
2019-01-01,2.33711,-0.98461
2019-02-01,1.9501,-1.21617
2019-03-01,1.11473,-1.55195
2019-04-01,0.459319,-1.85523
2019-05-01,-0.510214,-2.00567
2019-06-01,-1.13512,-1.75305
2019-07-01,-1.16729,-1.51172
2019-08-01,-1.00716,-1.30837
2019-09-01,-0.68875,-1.16381
2019-10-01,-1.04337,-0.898092
2019-11-01,-1.239,-0.531011
2019-12-01,-1.42287,-0.281665
2020-01-01,-1.25439,-0.0365441
2020-02-01,-0.99432,0.133038
2020-03-01,-0.899568,0.219622
2020-04-01,-0.0401279,0.304189
2020-05-01,1.52602,0.415265
2020-06-01,2.28448,0.158897
2020-07-01,2.38728,-0.228333
2020-08-01,1.86603,-0.85092
2020-09-01,0.947396,-1.36491
2020-10-01,-0.126033,-1.62628
2020-11-01,-0.896376,-1.63205
2020-12-01,-1.09512,-1.46564
2021-01-01,-0.776956,-1.35165
2021-02-01,-0.630609,-1.28572
2021-03-01,-1.0174,-1.27145
2021-04-01,-1.36435,-0.926508
2021-05-01,-1.95722,-0.436139
2021-06-01,-1.92368,0.214037
2021-07-01,-1.47007,0.792379
2021-08-01,-1.28268,0.90146
2021-09-01,-1.36949,1.1061
2021-10-01,-1.24425,1.32922
2021-11-01,-0.677846,1.67126
2021-12-01,-0.0493158,1.81716
2022-01-01,-0.0233555,1.79371
2022-02-01,0.185704,1.64567
2022-03-01,0.242608,1.68648
2022-04-01,0.676907,1.65302
2022-05-01,1.73914,1.22419
2022-06-01,2.58815,0.187039
2022-07-01,3.05787,-0.318808
2022-08-01,2.92829,-0.834748
