date,MgII
2022-08-01,0.158389
2022-09-01,0.160217
2022-10-01,0.160872
2022-11-01,0.159971
2022-12-01,0.161173
2023-01-01,0.165525
2023-02-01,0.164888
2023-03-01,0.164833
2023-04-01,0.163534
2023-05-01,0.163771
2023-06-01,0.165621
2023-07-01,0.165985
2023-08-01,0.165595
2023-09-01,0.164892
2023-10-01,0.164727
2023-11-01,0.164389
2023-12-01,0.1634
2024-01-01,0.164664
2024-02-01,0.164164
2024-03-01,0.163317
2024-04-01,0.164991
2024-05-01,0.166863
2024-06-01,0.167809
2024-07-01,0.169568
2024-08-01,0.172723
2024-09-01,0.17085
2024-10-01,0.170568
2024-11-01,0.168779
2024-12-01,0.16828
