date,TP
2006-11-01,283.8901972530902
2006-12-01,263.45573787697066
2007-01-01,286.8621955596239
2007-02-01,268.04795213090455
2007-03-01,279.58796642310637
2007-04-01,292.5075511339597
2007-05-01,300.0
2007-06-01,290.2627759128912
2007-07-01,273.2383293706068
2007-08-01,276.78935061417485
2007-09-01,287.43974227567537
2007-10-01,263.46775175070974
2007-11-01,278.12288467171805
2007-12-01,250.62059748279012
2008-01-01,265.29326004147947
2008-02-01,267.7109534925985
2008-03-01,300.0
2008-04-01,300.0
2008-05-01,300.0
2008-06-01,300.0
2008-07-01,290.79711739240753
2008-08-01,293.3575859518741
2008-09-01,267.8996658657135
2008-10-01,300.0
2008-11-01,286.74894457633525
2008-12-01,248.16603785352962
2009-01-01,277.4706477705712
2009-02-01,300.0
2009-03-01,300.0
2009-04-01,288.2996035732265
2009-05-01,295.38367187590563
2009-06-01,300.0
2009-07-01,288.02362307868964
2009-08-01,268.9183826244564
2009-09-01,276.578671042072
2009-10-01,280.8873874112579
2009-11-01,275.8501262524819
2009-12-01,271.6523541996034
2010-01-01,229.9739590262858
2010-02-01,300.0
2010-03-01,300.0
2010-04-01,300.0
2010-05-01,291.28984856699884
2010-06-01,300.0
2010-07-01,256.8780760897786
2010-08-01,275.09235159220015
2010-09-01,277.0978512716968
2010-10-01,284.0097020296263
2010-11-01,291.83050314633954
2010-12-01,265.4102418032334
2011-01-01,299.4328485106338
2011-02-01,275.3691216118893
2011-03-01,287.99849691218236
2011-04-01,285.4143877514778
2011-05-01,297.9036943325924
2011-06-01,281.8433924699483
2011-07-01,265.3335019404426
2011-08-01,270.9498000250879
2011-09-01,270.01385976585686
2011-10-01,270.6852064505795
2011-11-01,247.14751287525797
2011-12-01,276.1121418940924
2012-01-01,251.21233108616104
2012-02-01,282.1504408204492
2012-03-01,300.0
2012-04-01,300.0
2012-05-01,300.0
2012-06-01,300.0
2012-07-01,281.81963159160665
2012-08-01,274.5527324427854
2012-09-01,294.92020658677495
2012-10-01,300.0
2012-11-01,275.245533110812
2012-12-01,252.8209886730638
2013-01-01,296.0313032368566
2013-02-01,287.14596734868206
2013-03-01,300.0
2013-04-01,300.0
2013-05-01,285.4108586035675
2013-06-01,278.89505050352284
2013-07-01,282.54068454357594
2013-08-01,273.87121781154025
2013-09-01,265.95573723014877
2013-10-01,281.5667065091431
2013-11-01,300.0
2013-12-01,280.8616792100629
2014-01-01,230.96910538949652
2014-02-01,245.8930374987392
2014-03-01,264.0944708694422
2014-04-01,294.5110275451277
2014-05-01,300.0
2014-06-01,300.0
2014-07-01,257.4719623990513
2014-08-01,276.1499918972967
2014-09-01,263.5182572523358
2014-10-01,263.46681068589373
2014-11-01,255.98866605009533
2014-12-01,281.92817274273483
2015-01-01,277.8919767613308
2015-02-01,263.75492100227336
2015-03-01,280.74809489459835
2015-04-01,300.0
2015-05-01,300.0
2015-06-01,300.0
